ARTIGO,AUTOR,INSTITUIÇÃO,UF
https://even3.blob.core.windows.net/anais/788374.pdf,DORA SORAIA KINDEL,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788374.pdf,MÁRCIO DE ALBUQUERQUE VIANNA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788397.pdf,JOSÉ ROBERTO LINHARES DE MATTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/788397.pdf,SANDRA MARIA NASCIMENTO DE MATTOS,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788397.pdf,IVANETE CARDOSO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/789029.pdf,ADRIANO VARGAS FREITAS,UFF,RJ
https://even3.blob.core.windows.net/anais/789029.pdf,LILIAN REGINA ARAUJO DOS SANTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/789029.pdf,MÁRCIA LUCAS DE OLIVEIRA,UFF,RJ
https://even3.blob.core.windows.net/anais/789033.pdf,SANDRA MARIA NASCIMENTO DE MATTOS,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/799128.pdf,SANDRA MARIA NASCIMENTO DE MATTOS,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/799803.pdf,MARIA CECILIA FANTINATO,UFF,RJ
https://even3.blob.core.windows.net/anais/799843.pdf,MARIA CECILIA FANTINATO,UFF,RJ
https://even3.blob.core.windows.net/anais/800211.pdf,JOSÉ ROBERTO LINHARES DE MATTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/801423.pdf,JOSÉ ROBERTO LINHARES DE MATTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/801723.pdf,MARIA CECILIA FANTINATO,UFF,RJ
https://even3.blob.core.windows.net/anais/801877.pdf,EULINA COUTINHO SILVA DO NASCIMENTO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801877.pdf,LUIZA BETÂNIA GEVERGÍ LACERDA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801992.pdf,DÉBORA DE OLIVEIRA COUTO DA SILVA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801992.pdf,EULINA COUTINHO SILVA DO NASCIMENTO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801992.pdf,RAYANE ALVARENGA BESERRA DA SILVA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801995.pdf,GABRIELA BRIAO,UERJ,RJ
https://even3.blob.core.windows.net/anais/789068.pdf,JAINY ELLEN CASSIANO MOTA,IFRN,RN
https://even3.blob.core.windows.net/anais/789068.pdf,JOERDESSON DOUGLAS SILVA DE FARIAS,IFRN,RN
https://even3.blob.core.windows.net/anais/789068.pdf,MARIA APARECIDA DOS SANTOS FERREIRA,IFRN,RN
https://even3.blob.core.windows.net/anais/789068.pdf,PAULO EDUARDO BEZERRA DA SILVA,IFRN,RN
https://even3.blob.core.windows.net/anais/789074.pdf,FRANCISCO DJNNATHAN DA SILVA GONÇALVES,IFRN,RN
https://even3.blob.core.windows.net/anais/789074.pdf,JAINY ELLEN CASSIANO MOTA,IFRN,RN
https://even3.blob.core.windows.net/anais/789074.pdf,WILTON ALEXANDRE DO NASCIMENTO,UFRN,RN
https://even3.blob.core.windows.net/anais/797648.pdf,EDNEY ARAUJO LIMA,UFRN,RN
https://even3.blob.core.windows.net/anais/797648.pdf,Claudianny Amorim Noronha,UFRN,RN
https://even3.blob.core.windows.net/anais/801890.pdf,MARIA JOSÉ COSTA DOS SANTOS,UFRN,RN
https://even3.blob.core.windows.net/anais/788402.pdf,CARMA MARIA MARTINI,UNIR,RO
https://even3.blob.core.windows.net/anais/788402.pdf,MARLI HENRIQUE DE LIMA PIO SURUI,UNIR,RO
https://even3.blob.core.windows.net/anais/801879.pdf,MÁRCIA REGINA DE SOUZA SILVA,UNIR,RO
https://even3.blob.core.windows.net/anais/801893.pdf,MÁRCIA REGINA DE SOUZA SILVA,UNIR,RO
https://even3.blob.core.windows.net/anais/801893.pdf,ISABEL CRISTINA DE SOUZA,UNIR,RO
https://even3.blob.core.windows.net/anais/801893.pdf,KÉCIO GONÇALVES LEITE,UNIR,RO
https://even3.blob.core.windows.net/anais/801431.pdf,LÉLIA MAXIMINO DA SILVA,Escola Municipal Indígena Vovó Tereza Januário,RR
https://even3.blob.core.windows.net/anais/801431.pdf,ADNELSON JATI BATISTA,IFRR,RR
https://even3.blob.core.windows.net/anais/801431.pdf,SOLANGE ALMEIDA SANTOS,IFRR,RR
https://even3.blob.core.windows.net/anais/788156.pdf,DELMA TÂNIA BERTHOLDO,IFRS,RS
https://even3.blob.core.windows.net/anais/788317.pdf,ISABEL CRISTINA MACHADO DE LARA,PUCRS,RS
https://even3.blob.core.windows.net/anais/788317.pdf,JULIANA BATISTA PEREIRA DOS SANTOS,Escola Estadual de Ensino Médio Bibiano de Almeida,RS
https://even3.blob.core.windows.net/anais/788317.pdf,LUÍS TIAGO OSTERBERG,PUCRS,RS
https://even3.blob.core.windows.net/anais/788435.pdf,CASSIO CRISTIANO GIORDANO,FURG,RS
https://even3.blob.core.windows.net/anais/789014.pdf,ISABEL CRISTINA MACHADO DE LARA,PUCRS,RS
https://even3.blob.core.windows.net/anais/791639.pdf,BIANCA BALBINOT,Cesuca,RS
https://even3.blob.core.windows.net/anais/791639.pdf,DAIANE RENATA MACHADO,Cesuca,RS
https://even3.blob.core.windows.net/anais/798586.pdf,DELMA TÂNIA BERTHOLDO,IFRS,RS
https://even3.blob.core.windows.net/anais/799943.pdf,CAROLINE ANGÉLICA SCHMIDT,Univates,RS
https://even3.blob.core.windows.net/anais/799943.pdf,IEDA MARIA GIONGO,Univates,RS
https://even3.blob.core.windows.net/anais/801038.pdf,IEDA MARIA GIONGO,Univates,RS
https://even3.blob.core.windows.net/anais/801038.pdf,KÁTIA LIGIA VIEIRA LIRA,Univates,RS
https://even3.blob.core.windows.net/anais/801456.pdf,ISABEL CRISTINA MACHADO DE LARA,PUCRS,RS
https://even3.blob.core.windows.net/anais/801509.pdf,DENISE CRISTINA RIBEIRO DA SILVA,Univates,RS
https://even3.blob.core.windows.net/anais/801509.pdf,IEDA MARIA GIONGO,Univates,RS
https://even3.blob.core.windows.net/anais/787094.pdf,JACKELINE RODRIGUES MENDES,UNICAMP,SP
https://even3.blob.core.windows.net/anais/787094.pdf,LUIZ FELIPE DE MELO PEREIRA,UNICAMP,SP
https://even3.blob.core.windows.net/anais/788428.pdf,ROGER MIARKA,UNESP,SP
https://even3.blob.core.windows.net/anais/788445.pdf,HARRYSON JÚNIO LESSA GONÇALVES,UNESP,SP
https://even3.blob.core.windows.net/anais/788445.pdf,JHEMERSON DA SILVA E NETO,UNESP,SP
https://even3.blob.core.windows.net/anais/788896.pdf,EVERALDO GOMES LEANDRO,IFSP,SP
https://even3.blob.core.windows.net/anais/788896.pdf,MAURA ARAUJO DIAS,IFSP,SP
https://even3.blob.core.windows.net/anais/789028.pdf,CARMEN LÚCIA BRANCAGLION PASSOS,UFSCar,SP
https://even3.blob.core.windows.net/anais/789048.pdf,ESTER LOPES MENDONÇA,USP,SP
https://even3.blob.core.windows.net/anais/789048.pdf,JÚLIO CÉSAR AUGUSTO DO VALLE,USP,SP
https://even3.blob.core.windows.net/anais/789064.pdf,VALDIRENE ROSA DE SOUZA,SEDUC,SP
https://even3.blob.core.windows.net/anais/789065.pdf,HARRYSON JÚNIO LESSA GONÇALVES,UNESP,SP
https://even3.blob.core.windows.net/anais/789947.pdf,EVERALDO GOMES LEANDRO,IFSP,SP
https://even3.blob.core.windows.net/anais/789947.pdf,MAURA ARAUJO DIAS,IFSP,SP
https://even3.blob.core.windows.net/anais/789947.pdf,RODRIGO REIS (Rodrigo dos Reis Silva),IFSP,SP
https://even3.blob.core.windows.net/anais/791282.pdf,CARLOS MUCUTA SANTOS,USP,SP
https://even3.blob.core.windows.net/anais/792436.pdf,MARCELO DE CARVALHO BORBA,UNESP,SP
https://even3.blob.core.windows.net/anais/799462.pdf,DANIEL OLIVEIRA DE ANDRADE,USP,SP
https://even3.blob.core.windows.net/anais/799462.pdf,JÚLIO CÉSAR AUGUSTO DO VALLE,USP,SP
https://even3.blob.core.windows.net/anais/801481.pdf,ANA GABRIELLE CAMARGO DE SOUZA,UNESP,SP
https://even3.blob.core.windows.net/anais/801481.pdf,ANDREIA LUNKES CONRADO,Unesp,SP
https://even3.blob.core.windows.net/anais/801518.pdf,ROGER MIARKA,UNESP,SP
https://even3.blob.core.windows.net/anais/801518.pdf,WANDERSON ROCHA LOPES,UNESP,SP
https://even3.blob.core.windows.net/anais/801657.pdf,ADEMIR DONIZETI CALDEIRA,UFSCar,SP
https://even3.blob.core.windows.net/anais/801657.pdf,RAFAEL BIDA GUABIRABA MARTINS,UFSCar,SP
https://even3.blob.core.windows.net/anais/801742.pdf,ALEXANDER CAVALCANTI VALENÇA,USP,SP
https://even3.blob.core.windows.net/anais/801822.pdf,MARCELO DE CARVALHO BORBA,UNESP,SP
https://even3.blob.core.windows.net/anais/801879.pdf,DEISE APARECIDA PERALTA,UNESP,SP
https://even3.blob.core.windows.net/anais/801879.pdf,MARCELA LOPES DE SANTANA,UNESP,SP
https://even3.blob.core.windows.net/anais/801966.pdf,FELIPPE ALLAN OSIRES SANTOS LOPES,UNICAMP,SP
https://even3.blob.core.windows.net/anais/801966.pdf,JACKELINE RODRIGUES MENDES,UNICAMP,SP
https://even3.blob.core.windows.net/anais/801976.pdf,HEINRICH DA SOLIDADE SANTOS,UNESP,SP
https://even3.blob.core.windows.net/anais/801976.pdf,JORGE ISIDRO ORJUELA BERNAL,UNICAMP,SP
https://even3.blob.core.windows.net/anais/794447.pdf,ALCIONE MARQUES FERNANDES,UFT,TO
https://even3.blob.core.windows.net/anais/800289.pdf,ADRIANO FONSECA,UFNT,TO
https://even3.blob.core.windows.net/anais/800289.pdf,ANDREY PATRICK MONTEIRO DE PAULA,UFNT,TO
https://even3.blob.core.windows.net/anais/800351.pdf,ALCIONE MARQUES FERNANDES,UFT,TO
https://even3.blob.core.windows.net/anais/800667.pdf,ELISANGELA APARECIDA PEREIRA DE MELO,UFNT,TO
https://even3.blob.core.windows.net/anais/800924.pdf,ALCIONE MARQUES FERNANDES,UFT,TO
https://even3.blob.core.windows.net/anais/802003.pdf,DAILSON EVANGELISTA COSTA,UFT,TO
https://even3.blob.core.windows.net/anais/802003.pdf,LUCAS PEREIRA DE ARAÚJO,UFNT,TO
https://even3.blob.core.windows.net/anais/802003.pdf,WAGNER DOS SANTOS MARIANO,UFNT,TO
https://even3.blob.core.windows.net/anais/788449.pdf,WILLIAM SOUSA DE JESUS,UFG,GO
https://even3.blob.core.windows.net/anais/788537.pdf,VANIA DE FATIMA TLUSZCZ LIPPERT,Secretaria Estadual de Educação do Paraná,PR
https://even3.blob.core.windows.net/anais/788547.pdf,JÚLIA PATRÍCIA OLIVEIRA DA SILVA,Instituto Educacional Integrado Matheus Costa Pinto,
https://even3.blob.core.windows.net/anais/788547.pdf,LAÍS CHAVES DAMIÃO,E.E.Theodoro Corrêa Cintra,SP
https://even3.blob.core.windows.net/anais/788896.pdf,DANILO GUAITULI CARDOSO,IFSP,SP
https://even3.blob.core.windows.net/anais/788896.pdf,ERICK JOSÉ DA SILVA SANTOS,IFSP,SP
https://even3.blob.core.windows.net/anais/788974.pdf,FÁBIO ROBERTO LADISLAU PANTOJA,UEAP,AP
https://even3.blob.core.windows.net/anais/788986.pdf,DAYENE FERREIRA DOS SANTOS,UNESP,SP
https://even3.blob.core.windows.net/anais/789014.pdf,SCHEILA DA ROSA ROCHA SERAFIM,PUCRS,RS
https://even3.blob.core.windows.net/anais/789014.pdf,VALDIRENE TEIXEIRA FLOR VIANA,PUCRS,RS
https://even3.blob.core.windows.net/anais/789016.pdf,CARMA MARIA MARTINI,UNIR,RO
https://even3.blob.core.windows.net/anais/789016.pdf,INGRID CAROLINE DA ROCHA MACHADO,UNIR,RO
https://even3.blob.core.windows.net/anais/789016.pdf,MIRENI DOS SANTOS ALVES,UNIR,RO
https://even3.blob.core.windows.net/anais/789034.pdf,ELTON DE ANDRADE VIANA,PUCSP,SP
https://even3.blob.core.windows.net/anais/789035.pdf,CATIANE TOLOSA BRITO,IFAP,AP
https://even3.blob.core.windows.net/anais/789044.pdf,ERNESTA DA SILVA ARAUJO,UNEMAT,MG
https://even3.blob.core.windows.net/anais/789044.pdf,LUCAS VALERIO CAMPOS,,
https://even3.blob.core.windows.net/anais/789050.pdf,FABIO CARDOSO MARINHO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/789050.pdf,GISELA MARIA DA FONSECA PINTO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/789062.pdf,CRISTIANO CORRÊA PANTOJA,IFPA,PA
https://even3.blob.core.windows.net/anais/789062.pdf,IVANA LORENA SENA FARIAS,IFPA,PA
https://even3.blob.core.windows.net/anais/789065.pdf,DOUGLAS MATHEUS GAIOLI DIAS,UNESP,SP
https://even3.blob.core.windows.net/anais/789066.pdf,FABRÍCIO DE SOUZA DE OLIVEIRA,IFBA,BA
https://even3.blob.core.windows.net/anais/789066.pdf,PATRÍCIA SANTANA DE ARGÔLO,IFBA,BA
https://even3.blob.core.windows.net/anais/789067.pdf,FABRÍCIO DE SOUZA DE OLIVEIRA,IFBA,BA
https://even3.blob.core.windows.net/anais/789070.pdf,TÂNIA PINTO DOS SANTOS SOUZA,UFRB,BA
https://even3.blob.core.windows.net/anais/791687.pdf,JUSCILENE NOLÊTO DE CARVALHO,UFMA,MA
https://even3.blob.core.windows.net/anais/791687.pdf,RENATO DARCIO NOLETO SILVA,UEPA,PA
https://even3.blob.core.windows.net/anais/792436.pdf,JOSÉ FERNANDES TORRES DA CUNHA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/793359.pdf,LUCAS JUNIOR PAIXÃO,UFOP,MG
https://even3.blob.core.windows.net/anais/793767.pdf,MIRIAN ZUQUETO FARIAS,Secretaria Municipal de Educação (SEMED),PA
https://even3.blob.core.windows.net/anais/793767.pdf,RITIANNE DE FATIMA SILVA OLIVEIRA,Secretaria Municipal de Educação (SEMED),PA
https://even3.blob.core.windows.net/anais/793912.pdf,ELANI DOS ANJOS LOBATO,UNEMAT,MT
https://even3.blob.core.windows.net/anais/793912.pdf,MÔNICA TAFFAREL,UFMS,MS
https://even3.blob.core.windows.net/anais/793912.pdf,VICTOR LUIZ DUARTE RIGOTTI,UNEMAT,MT
https://even3.blob.core.windows.net/anais/794986.pdf,JOSÉ ERILDO LOPES JÚNIOR,UFPA,PA
https://even3.blob.core.windows.net/anais/797590.pdf,FILIPE SANTOS FERNANDES,UFMG,MG
https://even3.blob.core.windows.net/anais/797648.pdf,CLAUDIANNY AMORIM NORONHA,UFRN,RN
https://even3.blob.core.windows.net/anais/799701.pdf,RAFAEL ANTUNES MACHADO,UFMG,MG
https://even3.blob.core.windows.net/anais/799803.pdf,CAROLINA LUIZ ALVES,UFF,RJ
https://even3.blob.core.windows.net/anais/799913.pdf,ELIZIARA PEREIRA COUTINHO,UFMG,MG
https://even3.blob.core.windows.net/anais/800127.pdf,VICTOR DANIEL SOUSA GOMES,IFAP,AP
https://even3.blob.core.windows.net/anais/800127.pdf,WILKYRSON CALDAS LIMA,IFAP,IFAP
https://even3.blob.core.windows.net/anais/800129.pdf,LUCIANO DE SANTANA RODRIGUES,UFOP,MG
https://even3.blob.core.windows.net/anais/800164.pdf,DIOGO MONTEIRO DOS SANTOS,UFAP,AP
https://even3.blob.core.windows.net/anais/800164.pdf,MAWARE WAJÃPI,UFAP,AP
https://even3.blob.core.windows.net/anais/800164.pdf,PAURI WAIÃPI,UFAP,AP
https://even3.blob.core.windows.net/anais/800211.pdf,FELIPE LIMA,IFAP,AP
https://even3.blob.core.windows.net/anais/800302.pdf,LUIZ CLAUDIO DA SILVA,,RJ
https://even3.blob.core.windows.net/anais/800351.pdf,MARIANE DA SILVA AVELINO,UFT,TO
https://even3.blob.core.windows.net/anais/800401.pdf,CALVINO PEREIRA DA SILVEIRA JÚNIOR,UNIFESSPA,PA
https://even3.blob.core.windows.net/anais/800509.pdf,GISELE AMÉRICO SOARES,UFF,RJ
https://even3.blob.core.windows.net/anais/800509.pdf,MARÍLIA PAULA,IFRJ,RJ
https://even3.blob.core.windows.net/anais/800641.pdf,JACKELINE RODRIGUES MENDES,UNICAMP,SP
https://even3.blob.core.windows.net/anais/800954.pdf,KÉCIO GONÇALVES LEITE,UNIR,RO
https://even3.blob.core.windows.net/anais/800954.pdf,MIRENI DOS SANTOS ALVES,UNIR,RO
https://even3.blob.core.windows.net/anais/801008.pdf,JOAO FERRREIRA DA SILVA NETO,UNEAL,AL
https://even3.blob.core.windows.net/anais/801008.pdf,MAYLAN ERAE MENDONÇA DA SILVA,UNEAL,AL
https://even3.blob.core.windows.net/anais/801008.pdf,WILLAMES FERREIRA DE MAGALHÃES,UNEAL,AL
https://even3.blob.core.windows.net/anais/801209.pdf,MORANE ALMEIDA DE OLIVEIRA,IFAC,AC
https://even3.blob.core.windows.net/anais/801225.pdf,RABEKA FERREIRA,UFOP,MG
https://even3.blob.core.windows.net/anais/801325.pdf,WELLINGTON PIVETA OLIVEIRA,UFMS,MS
https://even3.blob.core.windows.net/anais/801456.pdf,SOLANGE CARVALHO DE SOUZA,,RS
https://even3.blob.core.windows.net/anais/801571.pdf,THEMIS CORRÊA VERAS DE LIMA,IFAP,AP
https://even3.blob.core.windows.net/anais/801585.pdf,FILIPE SANTOS FERNANDES,UFMG,MG
https://even3.blob.core.windows.net/anais/801585.pdf,LUCAS RODRIGUES SILVA,UFMG,MG
https://even3.blob.core.windows.net/anais/801597.pdf,JOSIEL RIBEIRO DOS SANTOS,UNIFESSPA,PA
https://even3.blob.core.windows.net/anais/801723.pdf,CLAUDIA DE JESUS MEIRA,SEEDUC,RJ
https://even3.blob.core.windows.net/anais/801769.pdf,LUARA LARESSA FERREIRA DOS SANTOS LIMA,UFG,GO
https://even3.blob.core.windows.net/anais/801795.pdf,JOSÉ DO SOCORRO DOS SANTOS DA COSTA,SEEDUC,PA
https://even3.blob.core.windows.net/anais/801795.pdf,ODIRLEY FERREIRA DA SILVA,SEEDUC,PA
https://even3.blob.core.windows.net/anais/801795.pdf,OSVALDO DOS SANTOS BARROS,UFPA,PA
https://even3.blob.core.windows.net/anais/801995.pdf,MARIANA BARBOSA CASSIANO,Rede privada de ensino,